-37,"1,0,0,0,0,2,0,0,1,0,1,1,2,2,0,2,0,2,2,2,0,2,1,2,2,2,1,0,1,0,1,0,1,1,2,1,0,1,1,0,1,2,0,0,1,0,1,2,2,0,0,2,0,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,0,0,1,0,0,2,0,1,2,2,1,0,2,1,0,0,1,2,2,0,2,0,0,1,0,0,0,0,1,1"
-36,"2,0,2,1,0,0,0,2,0,1,2,2,2,2,2,2,2,0,0,0,0,2,1,2,2,2,2,1,2,2,1,2,0,0,2,0,0,1,0,0,0,1,2,2,1,2,2,2,0,0,2,2,2,0,0,1,0,0,1,2,0,0,1,1,1,2,1,1,1,2,1,0,2,2,2,2,1,1,2,2,2,0,0,1,1,0,0,0,0,1,1,2,2,0,2,2,0,0"
-36,"0,1,0,1,1,1,0,0,2,1,2,0,2,2,1,0,1,2,2,1,0,0,0,1,0,2,2,1,0,2,1,1,2,1,2,2,0,1,2,0,1,1,0,0,1,1,2,0,0,0,1,2,2,1,0,1,2,2,1,1,2,1,1,1,2,0,0,2,1,1,0,0,1,2,1,0,1,2,2,1,0,2,0,0,1,0,1,1,0,0,0,1,1,0,1,2,0,0"
-36,"1,2,0,1,0,1,2,2,1,0,0,0,1,0,1,1,0,2,2,0,2,2,0,2,1,2,0,1,2,0,1,1,0,0,2,2,2,0,2,2,2,1,0,0,2,1,1,2,2,1,0,2,1,0,1,1,0,0,1,1,0,0,1,1,0,2,2,0,2,2,0,2,2,0,2,2,1,2,0,2,2,1,0,1,0,0,2,2,2,1,0,2,1,0,0,0,0,2"
-35,"1,1,0,2,2,2,0,2,2,1,2,0,1,2,2,1,0,0,0,2,2,1,0,0,0,1,1,2,1,1,2,2,1,1,1,1,0,0,0,2,2,2,0,0,0,2,1,1,2,1,1,2,2,1,2,2,0,0,0,0,1,2,2,1,2,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,2,1,2,2,1,0,2,1,2,0,2,2,0,0,0,2,2"
-34,"1,1,0,0,2,1,0,2,0,2,0,0,1,0,2,0,1,0,0,2,0,0,2,2,2,1,1,0,1,1,0,0,1,2,2,2,2,2,0,2,1,2,0,2,1,0,0,0,2,2,1,2,1,2,0,2,2,1,2,0,1,0,0,1,2,1,0,2,1,1,1,2,2,0,2,1,1,0,0,0,1,1,0,0,2,0,1,2,0,0,0,2,0,0,1,1,0,2"
-34,"2,0,1,0,2,2,2,1,2,1,0,0,0,0,0,1,1,2,0,1,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1,0,0,1,2,1,2,2,0,1,0,0,1,0,0,0,1,0,0,2,0,2,1,2,1,0,2,2,0,1,1,1,0,0,1,2,0,2,0,0,2,2,0,2,2,1,2,1,0,0,2,0,0,0,2,1,0,1,0,0,2,2,2,0"
-34,"0,0,1,0,1,0,2,2,0,0,2,2,1,0,2,1,0,0,0,2,1,0,1,2,2,0,2,2,1,2,1,0,1,0,0,1,2,0,1,2,1,2,2,0,0,2,2,2,0,1,0,1,0,2,1,2,2,1,2,2,2,0,0,1,0,1,2,2,1,0,2,1,2,1,2,0,1,1,2,0,2,0,2,2,1,1,0,1,2,0,0,1,1,1,0,1,0,2"
-34,"2,1,1,0,2,1,0,1,1,2,1,0,2,2,2,2,2,0,2,2,1,0,1,0,1,0,1,2,2,2,1,0,2,2,2,0,2,2,0,0,2,2,1,1,1,2,2,1,1,0,0,2,1,1,2,2,1,0,2,2,2,1,0,2,0,2,2,2,0,1,1,1,2,0,0,1,2,0,0,0,0,2,0,0,0,2,2,0,2,0,2,1,2,2,0,1,2,2"
-34,"0,0,2,1,1,2,0,2,1,1,1,0,2,0,1,1,1,1,2,1,0,0,2,0,0,0,0,2,1,1,0,0,2,0,0,1,0,2,2,2,1,2,2,1,0,0,0,2,2,1,0,0,2,2,0,2,2,1,1,2,2,2,2,1,0,2,2,1,0,1,0,0,1,0,0,0,0,0,2,2,2,1,0,0,1,1,1,1,2,0,1,1,0,0,1,1,0,1"
