"-40.0","0,1,2,1,1,1,2,2,1,1,0,0,0,0,2,2,1,0,0,0,2,1,2,2,1,2,0,0,0,1,1,2,0,0,2,1,0,0,1,0,1,2,2,1,1,1,0,0,0,2,2,1,0,0,2,0,0,0,0,0,1,2,2,2,2,2,2,2,2,1,2,0,2,0,1,2,1,2,1,0,0,0,0,0,0,0,0,1,1,2,1,2,0,2,2,2,2,2"
"-40.0","2,0,0,0,1,0,2,2,2,2,0,0,0,0,2,2,1,0,0,2,0,0,2,2,2,0,2,1,2,2,0,0,2,2,0,0,2,2,1,2,2,0,2,2,1,2,1,0,1,1,0,0,2,2,1,0,0,0,2,0,0,1,0,1,2,1,1,2,0,2,0,0,2,2,2,0,2,1,2,2,2,1,0,0,0,0,0,1,0,1,2,1,0,0,2,1,2,2"
"-39.0","1,0,0,1,0,0,2,2,2,1,1,0,0,1,1,0,1,2,1,2,2,0,0,1,1,2,1,0,0,0,2,1,0,0,2,0,0,0,0,2,2,0,0,2,2,2,0,0,0,0,2,0,0,2,2,2,2,2,1,1,1,0,0,0,1,2,1,2,2,0,1,2,2,1,2,2,0,1,1,0,1,2,0,0,1,0,0,0,0,2,2,1,0,1,2,1,2,2"
"-36.0","0,1,1,2,2,0,1,2,2,0,0,0,1,0,0,0,2,1,2,0,0,2,1,2,2,0,2,2,0,0,2,2,2,0,1,1,0,0,0,2,1,0,2,2,2,2,2,1,2,2,0,1,2,0,0,1,0,1,1,0,2,2,2,0,2,0,0,2,2,0,0,2,2,0,1,1,2,1,2,2,1,1,0,0,0,0,1,0,2,0,0,2,0,1,0,0,2,2"
"-37.0","1,1,1,1,0,1,2,2,2,2,2,2,1,0,1,2,2,0,0,1,0,0,2,2,2,2,1,2,1,0,0,0,2,2,1,1,0,0,1,0,1,2,2,2,1,2,0,1,2,2,0,1,2,1,2,2,1,1,2,0,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,2,0,0,1,0"
"-34.0","0,0,0,0,2,0,2,2,2,2,0,0,0,0,1,2,1,0,0,2,0,0,0,2,0,0,2,2,2,2,2,2,2,2,1,0,2,2,0,0,2,1,1,2,2,1,0,2,1,2,2,2,2,0,1,1,0,0,0,1,0,0,2,1,2,0,1,1,1,0,0,1,2,0,2,1,0,0,0,0,1,1,2,1,2,2,0,2,0,1,0,2,2,0,2,1,1,1"
"-37.0","0,2,2,1,0,1,2,2,2,0,2,1,0,0,1,1,2,2,1,2,2,2,0,0,1,2,1,0,1,1,1,1,0,0,0,0,0,1,0,0,2,1,2,2,2,0,2,2,1,2,0,2,1,0,0,2,2,1,0,0,0,2,2,2,2,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,2,2,0,2,2,2,0,1,2,2,1,0,1,2,2"
"-34.0","2,1,2,2,1,0,2,2,1,1,1,1,1,2,2,1,1,0,0,1,0,2,1,2,2,0,1,0,2,0,0,0,2,2,0,0,2,2,1,2,1,0,0,2,0,0,1,2,0,2,2,1,0,2,2,0,0,0,1,1,2,2,1,2,1,0,0,0,2,2,1,0,0,0,0,1,0,2,0,0,0,2,1,0,0,1,2,0,1,1,1,0,0,1,0,0,0,0"
"-34.0","1,1,2,0,2,2,0,2,1,1,0,0,0,0,0,0,1,2,1,0,2,2,0,0,0,2,2,1,0,2,1,1,0,0,1,1,1,2,0,1,2,1,2,2,2,0,2,2,0,2,0,0,1,0,1,0,1,1,2,0,0,2,2,2,1,2,0,2,0,0,0,0,1,0,0,0,1,0,2,2,0,2,0,0,0,0,0,0,2,2,0,1,1,0,1,1,2,2"
"-37.0","1,1,1,2,0,2,0,0,2,1,1,2,2,1,2,2,1,0,0,0,1,0,2,2,1,2,1,2,2,1,2,0,1,0,0,0,2,0,2,2,1,2,0,0,1,2,2,0,2,2,2,0,1,0,0,0,0,1,0,0,2,2,1,0,2,0,1,0,2,0,0,2,0,0,2,1,0,0,0,1,2,0,2,2,1,2,2,2,2,2,1,0,0,1,0,1,0,0"
