25,-32,"0,2,1,1,1,2,0,2,0,0,2,0,0,1,0,0,2,2,0,0,2,1,2,0,0,1,0,2,1,1,0,1,2,1,2,0,0,0,0,1,0,1,0,1,1,0,2,2,0,2,1,2,0,0,0,0,1,2,2,1,2,0,0,0,2,0,1,1,0,2,1,0,0,1,1,0,0,2,2,1,2,2,2,2,2,0,1,1,2,2,2,0,1,0,0,1,0,0"
42,-32,"1,0,1,1,1,0,1,1,2,0,0,2,1,1,1,1,1,2,1,0,1,1,0,0,0,1,1,2,1,0,2,0,0,1,0,1,2,1,1,2,2,0,0,0,0,1,2,1,2,2,1,1,0,0,0,1,0,0,1,1,0,1,2,2,0,0,2,2,2,0,0,0,1,0,0,1,1,0,0,0,2,0,2,2,1,1,1,2,0,1,2,0,0,2,0,0,0,0"
2,-31,"1,2,0,2,1,2,0,1,0,0,2,1,1,0,0,0,0,1,2,2,0,0,0,0,0,2,0,1,0,2,2,1,2,0,1,0,2,2,2,0,0,0,2,1,1,1,2,2,0,2,2,1,1,1,1,2,1,2,0,1,2,1,1,1,2,0,1,0,1,0,0,0,1,0,0,1,0,0,1,2,2,0,1,0,0,1,1,0,0,0,0,2,0,0,2,2,0,0"
19,-31,"0,0,0,1,0,0,0,2,2,1,2,2,1,0,1,1,1,2,0,2,2,1,2,0,1,1,2,1,0,0,1,1,0,2,1,1,0,0,0,0,2,0,2,2,1,0,0,1,2,2,1,1,2,0,0,0,0,2,0,1,0,2,0,2,2,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,1,2,1,1,1,0,0,1,0,0,2,0,0,1,0"
33,-31,"2,1,0,2,1,2,1,1,1,2,1,1,2,0,2,0,0,2,2,1,2,1,0,0,0,0,1,2,1,2,2,0,0,1,2,0,2,2,1,2,2,2,1,0,0,1,2,1,2,2,0,1,0,0,0,2,0,2,2,1,1,1,0,2,1,1,2,1,0,1,0,0,2,0,1,0,0,1,1,0,1,0,0,2,2,0,1,0,1,1,2,0,0,1,0,2,0,0"
9,-30,"1,1,0,1,1,1,0,0,0,0,1,1,1,1,2,1,2,2,1,0,2,0,0,2,1,0,0,0,0,1,0,2,0,0,0,2,1,1,1,0,2,0,1,0,0,0,0,0,0,1,0,2,0,2,1,2,2,0,2,1,1,2,0,1,2,1,0,0,0,0,2,1,2,2,0,2,2,2,1,1,1,0,0,1,0,0,1,0,0,2,1,2,2,0,1,1,0,0"
26,-30,"0,0,2,1,1,0,0,1,0,1,0,2,2,2,1,1,0,0,1,0,0,2,2,0,0,1,0,1,1,1,2,2,0,0,2,1,2,1,2,0,1,0,0,1,0,1,0,2,2,1,1,0,1,0,0,0,2,1,2,0,1,2,1,0,1,0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,2,0,0"
49,-30,"1,0,1,2,0,0,0,1,1,1,2,2,2,1,0,2,0,0,1,2,1,0,0,0,0,0,1,1,2,0,0,2,2,0,1,2,1,2,1,2,0,1,1,1,2,1,0,1,0,1,1,1,0,2,0,1,2,1,2,2,2,0,1,1,1,0,2,2,2,0,1,0,0,0,0,0,2,1,1,1,0,2,0,0,0,0,2,0,1,1,0,2,0,1,0,2,2,0"
17,-29,"0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,2,1,1,0,1,0,0,2,0,2,1,2,0,2,0,1,0,0,1,0,0,0,1,2,2,0,0,0,1,0,0,1,2,1,2,2,0,0,0,1,1,1,0,2,1,0,1,1,0,0,2,0,2,0,0,1,0,0,1,0,0,1,1,2,1,2,1,1,2,2,2,0,1,0,0,0,1,0,1,0,0"
27,-29,"1,0,0,0,0,0,1,2,2,0,1,0,1,0,1,1,2,1,1,1,0,1,1,2,0,1,1,0,2,0,1,0,0,0,1,1,0,0,0,1,2,1,0,0,1,0,1,0,0,1,2,2,0,1,1,0,0,1,1,0,0,0,1,2,0,0,1,0,1,1,0,1,1,1,2,1,1,0,0,0,1,1,1,2,1,0,0,0,1,0,1,1,1,0,1,2,0,0"
