0,-40,"2,2,2,2,2,1,0,0,0,1,1,1,2,2,1,1,2,2,2,1,2,2,0,0,0,1,1,2,0,1,2,1,0,0,0,1,2,1,2,2,2,1,0,0,1,0,2,2,0,2,2,1,2,0,0,1,0,0,1,0,1,0,1,2,1,0,2,1,2,1,2,0,2,2,1,2,2,2,1,2,2,2,0,0,0,0,1,0,0,0,2,2,1,2,0,1,2,2",,,,,,,,,,,,,,17
1,-37,"2,0,2,2,0,2,0,0,1,2,1,2,1,2,0,0,0,2,2,1,1,2,2,2,2,2,1,1,0,1,1,0,1,1,1,0,1,1,2,0,0,1,2,1,2,2,2,0,2,0,0,1,2,2,2,1,2,1,2,2,0,0,1,1,2,2,2,0,0,2,1,2,1,2,0,1,2,2,2,2,2,2,1,0,0,0,0,0,1,2,1,2,2,2,1,1,0,0",,,,,,,,,,,,,,
2,-35,"1,0,2,0,1,0,2,2,1,2,0,0,1,0,1,0,2,0,1,0,2,2,0,0,2,2,0,2,1,0,2,1,2,2,2,0,0,1,1,1,2,1,2,2,0,2,2,2,1,0,2,2,2,0,2,0,1,0,0,0,1,1,1,0,2,0,1,2,1,2,2,0,1,2,2,0,2,2,1,1,2,0,1,2,2,2,2,0,2,0,1,0,0,0,1,1,2,2",,,,,,,,,,,,,,
3,-37,"2,2,1,0,1,2,0,0,0,1,1,2,2,0,2,2,1,1,1,2,2,0,2,2,0,2,0,1,0,1,1,1,0,0,0,2,1,2,1,2,2,1,0,0,0,1,0,1,1,1,2,0,2,2,1,0,2,0,2,2,2,1,1,2,0,0,1,0,2,2,0,0,2,0,0,0,1,2,1,2,1,1,2,2,2,2,2,0,0,0,1,2,2,0,0,1,2,2",,,,,,,,,,,,,,
4,-35,"0,2,1,0,1,2,0,0,0,0,0,1,2,1,0,1,1,2,2,1,1,2,0,0,2,1,1,1,1,2,0,2,1,0,2,2,1,1,2,2,2,1,1,1,1,0,0,1,2,1,2,2,1,1,2,0,0,1,0,1,0,0,1,2,1,1,0,0,1,2,2,0,0,1,0,0,2,0,1,0,2,1,2,0,2,0,0,2,1,0,0,0,2,0,0,2,0,0",,,,,,,,,,,,,,
5,-36,"2,2,1,2,1,2,2,0,0,1,2,2,0,1,1,2,1,2,2,2,0,2,0,0,0,2,0,0,2,2,1,1,0,0,2,1,0,2,2,0,0,2,0,0,0,0,1,0,0,0,0,1,1,1,2,2,1,1,2,1,1,1,1,0,1,2,0,1,0,0,2,2,2,1,0,1,0,1,0,2,2,1,2,2,1,2,2,0,0,1,1,1,0,0,1,2,1,0",,,,,,,,,,,,,,
6,-35,"2,0,1,0,2,2,2,2,0,1,0,0,2,0,1,0,2,1,2,2,2,0,2,2,1,1,2,2,1,1,2,1,1,1,2,0,0,2,2,0,0,0,0,1,0,2,1,0,0,0,0,0,2,2,1,1,2,1,1,1,2,2,2,0,1,1,2,1,2,0,0,0,0,1,0,0,0,1,0,0,2,0,2,2,1,2,2,0,0,2,0,0,0,0,2,2,0,0",,,,,,,,,,,,,,
7,-34,"1,1,2,1,1,2,1,2,2,2,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,2,2,1,2,1,0,1,2,1,2,0,0,2,1,1,0,1,0,0,0,2,1,2,1,2,1,0,0,0,1,0,0,1,2,1,2,2,1,2,1,2,2,2,2,1,1,1,0,0,0,1,2,2,1,0,1,2,2,0,1,1,0,2,1,2,1,1,2,1,1,2,2",,,,,,,,,,,,,,
8,-37,"0,0,1,1,0,0,2,1,1,2,0,2,2,1,2,1,2,1,1,2,2,1,0,1,1,2,0,0,0,0,0,0,1,2,0,2,0,0,2,1,1,1,0,0,1,0,1,0,1,2,2,0,1,2,1,2,1,1,2,2,2,2,1,2,0,0,2,0,2,0,0,0,0,0,1,0,0,1,2,2,0,1,0,0,2,2,2,2,2,1,1,1,1,2,1,1,2,1",,,,,,,,,,,,,,
9,-33,"1,2,1,1,2,0,2,1,2,1,1,1,2,0,1,0,1,0,1,0,0,0,0,2,2,1,0,1,2,2,0,0,0,1,2,1,2,2,0,1,1,1,0,0,0,1,1,2,2,2,2,1,1,2,1,1,1,2,0,2,2,2,0,1,2,0,1,1,0,1,0,0,1,1,2,1,0,0,2,0,1,2,2,1,0,2,2,1,1,0,1,1,0,1,0,0,1,1",,,,,,,,,,,,,,
10,-39,"2,2,2,0,1,0,2,1,0,2,1,1,2,2,1,1,1,2,2,0,2,2,0,0,1,1,2,2,2,0,0,0,0,1,1,0,2,1,2,0,1,0,2,2,1,1,1,1,2,2,1,2,2,1,0,0,0,2,2,0,0,1,2,2,2,2,1,1,0,0,0,0,1,0,0,0,0,0,2,1,2,1,0,0,0,0,2,1,1,1,0,1,0,0,2,2,2,0",,,,,,,,,,,,,,
11,-36,"0,0,2,2,2,0,0,2,1,2,1,2,0,2,1,2,2,0,0,0,0,2,1,1,0,1,1,2,2,1,1,0,2,2,1,2,2,2,1,1,1,2,2,0,1,0,2,0,2,1,2,2,1,2,1,0,0,0,2,0,1,1,1,2,2,0,1,1,1,2,0,2,2,1,1,1,2,0,2,2,0,2,1,2,2,0,2,2,0,1,2,1,2,0,0,2,0,0",,,,,,,,,,,,,,
12,-37,"2,2,1,2,2,0,0,1,0,1,2,2,1,1,2,1,0,0,1,1,2,1,2,2,0,0,2,2,0,1,2,2,0,2,2,1,0,0,2,0,0,2,1,2,2,0,2,1,2,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,2,1,1,0,0,2,2,1,2,1,1,2,1,1,2,0,0,2,1,0,1,0,2,1,1,2,1,1,2,1,2,2,0,0",,,,,,,,,,,,,,
13,-34,"0,2,2,1,0,2,0,0,1,0,1,1,1,1,2,0,1,2,2,1,2,0,0,0,0,0,2,1,1,1,1,2,2,2,1,2,0,2,2,1,1,1,0,1,0,2,2,1,1,2,0,0,0,0,0,1,2,2,0,2,2,2,0,1,1,0,2,2,1,1,2,2,1,0,2,2,0,0,2,1,2,0,2,1,2,2,2,1,2,2,2,0,2,2,1,0,2,2",,,,,,,,,,,,,,
14,-34,"2,1,0,1,0,0,1,2,1,1,1,2,1,2,0,1,1,2,1,0,1,1,2,1,0,0,1,2,0,1,1,1,0,0,0,1,1,2,1,1,2,0,1,0,2,1,0,2,2,2,2,2,0,0,2,0,0,0,0,0,0,2,1,1,2,0,0,1,1,0,1,1,0,2,0,0,2,2,1,2,2,1,0,0,1,0,2,2,2,1,0,1,0,2,0,1,0,0",,,,,,,,,,,,,,
15,-33,"2,2,0,1,1,0,1,0,1,1,2,1,2,2,0,1,0,2,2,0,2,2,0,1,0,1,1,0,0,2,2,0,2,1,2,2,0,0,1,2,1,1,2,2,1,1,0,1,2,1,2,0,1,2,0,2,0,0,2,2,2,1,0,0,1,1,2,2,2,1,0,0,0,0,1,0,0,1,1,1,2,0,0,1,1,1,2,0,2,1,1,0,0,1,1,1,0,1",,,,,,,,,,,,,,
16,-37,"2,0,2,2,0,0,2,2,0,1,0,0,2,0,1,2,2,0,1,1,1,1,1,2,2,1,0,1,1,0,0,1,2,1,0,0,0,1,0,0,2,1,0,1,0,1,0,2,2,1,2,1,1,1,1,1,0,0,0,1,2,2,2,1,1,0,0,1,2,2,2,0,1,0,1,0,1,0,0,2,2,2,2,1,0,2,2,2,0,2,1,2,2,0,2,2,2,1",,,,,,,,,,,,,,
17,-33,"1,2,1,1,2,1,2,2,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,2,2,2,2,1,2,1,2,1,0,2,2,2,2,2,0,0,2,2,2,0,0,0,1,1,2,2,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,1,2,2,2,2,1,0,2,0,2,1,2,2,0,0,1,2,0,0,1,0,2,2,1,2,2,0,1,0,0,0,0,1",,,,,,,,,,,,,,
18,-37,"0,0,1,2,0,1,2,2,1,1,2,2,0,0,0,0,2,0,0,1,1,0,1,1,1,1,2,0,2,1,2,1,1,2,1,0,0,2,2,2,2,2,2,2,2,2,2,1,0,0,1,0,0,1,0,2,0,0,2,0,2,2,1,2,0,2,2,1,1,1,2,2,0,0,2,1,1,1,1,0,0,2,1,0,0,1,0,1,1,1,2,1,2,2,1,2,2,2",,,,,,,,,,,,,,
